timestamp,image_file,linear_x,angular_z
1749036311.365349,1749036311.365349.png,0.2976,-0.0003
1749036311.466483,1749036311.466483.png,0.2976,-0.0002
1749036311.567722,1749036311.567722.png,0.2976,-0.0002
1749036311.665062,1749036311.665062.png,0.2976,-0.0002
1749036311.765422,1749036311.765422.png,0.2976,-0.0001
1749036311.865000,1749036311.865000.png,0.2976,0.0002
1749036311.964653,1749036311.964653.png,0.2976,0.0001
1749036312.065547,1749036312.065547.png,0.2976,-0.0001
1749036312.165349,1749036312.165349.png,0.2976,-0.0001
1749036312.269425,1749036312.269425.png,0.2976,0.0001
1749036312.364857,1749036312.364857.png,0.2976,0.0001
1749036312.468181,1749036312.468181.png,0.2976,-0.0001
1749036312.564914,1749036312.564914.png,0.2976,-0.0000
1749036312.680734,1749036312.680734.png,0.2976,0.0001
1749036312.765187,1749036312.765187.png,0.2976,0.0001
1749036312.866162,1749036312.866162.png,0.2976,0.0000
1749036312.965046,1749036312.965046.png,0.2976,-0.0000
1749036313.064827,1749036313.064827.png,0.2976,-0.0000
1749036313.164845,1749036313.164845.png,0.2976,0.0000
1749036313.265005,1749036313.265005.png,0.2976,0.0000
1749036313.365366,1749036313.365366.png,0.2976,0.0000
1749036313.464678,1749036313.464678.png,0.2976,-0.0001
1749036313.566525,1749036313.566525.png,0.2976,-0.0000
1749036313.665076,1749036313.665076.png,0.2976,0.0001
1749036313.765232,1749036313.765232.png,0.2976,0.0000
1749036313.866288,1749036313.866288.png,0.2976,0.0000
1749036313.964888,1749036313.964888.png,0.2976,0.0000
1749036314.064874,1749036314.064874.png,0.2976,-0.0000
1749036314.169158,1749036314.169158.png,0.2976,-0.0000
1749036314.271443,1749036314.271443.png,0.2976,-0.0000
1749036314.368765,1749036314.368765.png,0.2976,-0.0000
1749036314.465179,1749036314.465179.png,0.2976,-0.0000
1749036314.568183,1749036314.568183.png,0.2976,0.0000
1749036314.664839,1749036314.664839.png,0.2976,0.0001
1749036314.764801,1749036314.764801.png,0.2976,-0.0000
1749036314.865134,1749036314.865134.png,0.2976,-0.0001
1749036314.966555,1749036314.966555.png,0.2976,-0.0000
1749036315.064989,1749036315.064989.png,0.2976,0.0000
1749036315.165484,1749036315.165484.png,0.2976,0.0000
1749036315.265795,1749036315.265795.png,0.2976,0.0000
1749036315.364673,1749036315.364673.png,0.2976,-0.0000
1749036315.465307,1749036315.465307.png,0.2976,-0.0000
1749036315.568691,1749036315.568691.png,0.2976,0.0000
1749036315.665399,1749036315.665399.png,0.2976,0.0000
1749036315.765143,1749036315.765143.png,0.2976,0.0000
1749036315.864891,1749036315.864891.png,0.2976,0.0000
1749036315.968185,1749036315.968185.png,0.2976,0.0000
1749036316.064750,1749036316.064750.png,0.2976,0.0000
1749036316.164883,1749036316.164883.png,0.2976,-0.0000
1749036316.266213,1749036316.266213.png,0.2976,-0.0000
1749036316.365661,1749036316.365661.png,0.2976,-0.0296
1749036316.467314,1749036316.467314.png,0.2976,-0.1541
1749036316.566415,1749036316.566415.png,0.2976,-0.2862
1749036316.667720,1749036316.667720.png,0.2976,-0.3065
1749036316.765519,1749036316.765519.png,0.2976,-0.1805
1749036316.865211,1749036316.865211.png,0.2976,-0.0427
1749036316.965219,1749036316.965219.png,0.2976,-0.1368
1749036317.065076,1749036317.065076.png,0.2976,-0.2224
1749036317.165755,1749036317.165755.png,0.2976,-0.0900
1749036317.265140,1749036317.265140.png,0.2976,-0.0215
1749036317.365405,1749036317.365405.png,0.2976,-0.3304
1749036317.464713,1749036317.464713.png,0.2976,-0.3775
1749036317.564672,1749036317.564672.png,0.2976,-0.1752
1749036317.666168,1749036317.666168.png,0.2976,-0.1218
1749036317.765061,1749036317.765061.png,0.2976,-0.1727
1749036317.865169,1749036317.865169.png,0.2976,-0.2065
1749036317.965184,1749036317.965184.png,0.2976,-0.1081
1749036318.065512,1749036318.065512.png,0.2976,-0.0532
1749036318.164748,1749036318.164748.png,0.2976,-0.1872
1749036318.265888,1749036318.265888.png,0.2976,-0.3089
1749036318.364703,1749036318.364703.png,0.2976,-0.3026
1749036318.465131,1749036318.465131.png,0.2976,-0.3226
1749036318.564681,1749036318.564681.png,0.2976,-0.2383
1749036318.665630,1749036318.665630.png,0.2976,-0.1388
1749036318.766034,1749036318.766034.png,0.2976,-0.1373
1749036318.864890,1749036318.864890.png,0.2976,-0.1598
1749036318.964801,1749036318.964801.png,0.2976,-0.1302
1749036319.065593,1749036319.065593.png,0.2976,-0.0715
1749036319.164718,1749036319.164718.png,0.2976,-0.0550
1749036319.264910,1749036319.264910.png,0.2976,-0.0690
1749036319.365660,1749036319.365660.png,0.2976,-0.0682
1749036319.466175,1749036319.466175.png,0.2976,-0.0379
1749036319.567667,1749036319.567667.png,0.2976,-0.0232
1749036319.666858,1749036319.666858.png,0.2976,-0.0321
1749036319.765299,1749036319.765299.png,0.2976,-0.0392
1749036319.865042,1749036319.865042.png,0.2976,-0.0208
1749036319.966287,1749036319.966287.png,0.2976,-0.0084
1749036320.064712,1749036320.064712.png,0.2976,0.0026
1749036320.165137,1749036320.165137.png,0.2976,0.1173
1749036320.264782,1749036320.264782.png,0.2976,0.3061
1749036320.364919,1749036320.364919.png,0.2976,0.4477
1749036320.464838,1749036320.464838.png,0.2976,0.4053
1749036320.565227,1749036320.565227.png,0.2976,-0.0584
1749036320.664794,1749036320.664794.png,0.2976,-0.2598
1749036320.766339,1749036320.766339.png,0.2976,-0.0263
1749036320.865120,1749036320.865120.png,0.2976,0.4324
1749036320.965468,1749036320.965468.png,0.2976,0.1977
1749036321.065113,1749036321.065113.png,0.2976,-0.2456
1749036321.169840,1749036321.169840.png,0.2976,-0.2003
1749036321.264975,1749036321.264975.png,0.2976,-0.0025
1749036321.364988,1749036321.364988.png,0.2976,-0.0142
1749036321.464910,1749036321.464910.png,0.2976,-0.1195
1749036321.564806,1749036321.564806.png,0.2976,-0.1310
1749036321.666775,1749036321.666775.png,0.2976,0.0592
1749036321.767304,1749036321.767304.png,0.2976,0.2318
1749036321.864487,1749036321.864487.png,0.2976,0.1798
1749036321.964580,1749036321.964580.png,0.2976,0.1074
1749036322.065681,1749036322.065681.png,0.2976,0.1317
1749036322.165350,1749036322.165350.png,0.2976,0.1395
1749036322.265580,1749036322.265580.png,0.2976,0.1090
1749036322.364966,1749036322.364966.png,0.2976,0.0153
1749036322.465258,1749036322.465258.png,0.2976,-0.1268
1749036322.568482,1749036322.568482.png,0.2976,-0.1948
1749036322.664959,1749036322.664959.png,0.2976,-0.2910
1749036322.764773,1749036322.764773.png,0.2976,0.1230
1749036322.866991,1749036322.866991.png,0.2976,0.3619
1749036322.964798,1749036322.964798.png,0.2976,0.1635
1749036323.065057,1749036323.065057.png,0.2976,0.1607
1749036323.169492,1749036323.169492.png,0.2976,0.3819
1749036323.265077,1749036323.265077.png,0.2976,0.4515
1749036323.366178,1749036323.366178.png,0.2976,0.2522
1749036323.466323,1749036323.466323.png,0.2976,0.1146
1749036323.567190,1749036323.567190.png,0.2976,0.1388
1749036323.665943,1749036323.665943.png,0.2976,0.0773
1749036323.765640,1749036323.765640.png,0.2976,-0.0591
1749036323.864823,1749036323.864823.png,0.2976,-0.2454
1749036323.964658,1749036323.964658.png,0.2976,-0.2122
1749036324.065128,1749036324.065128.png,0.2976,0.0043
1749036324.164694,1749036324.164694.png,0.2976,0.0288
