timestamp,image_file,linear_x,angular_z
1749880107.535863,1749880107.535863.png,0.1465,-0.2157
1749880107.576582,1749880107.576582.png,0.1465,-0.2157
1749880107.603411,1749880107.603411.png,0.1465,-0.2157
1749880107.637229,1749880107.637229.png,0.1465,-0.2157
1749880107.669829,1749880107.669829.png,0.1465,-0.2157
1749880107.703320,1749880107.703320.png,0.1465,-0.2157
1749880107.736725,1749880107.736725.png,0.1465,-0.2157
1749880107.770580,1749880107.770580.png,0.1465,-0.2157
1749880107.803033,1749880107.803033.png,0.1465,-0.2157
1749880107.837233,1749880107.837233.png,0.1465,-0.2157
1749880107.873739,1749880107.873739.png,0.1465,-0.2157
1749880107.902850,1749880107.902850.png,0.1465,-0.2157
1749880107.936978,1749880107.936978.png,0.1465,-0.2157
1749880107.969351,1749880107.969351.png,0.1465,-0.2157
1749880108.021199,1749880108.021199.png,0.1465,-0.2157
1749880108.035891,1749880108.035891.png,0.1465,-0.2157
1749880108.069198,1749880108.069198.png,0.1465,-0.2157
1749880108.110231,1749880108.110231.png,0.1465,-0.2157
1749880108.138251,1749880108.138251.png,0.1465,-0.2157
1749880108.169135,1749880108.169135.png,0.1465,-0.2157
1749880108.202666,1749880108.202666.png,0.1465,-0.2199
1749880108.237307,1749880108.237307.png,0.1465,-0.2199
1749880108.269590,1749880108.269590.png,0.1465,-0.2199
1749880108.302539,1749880108.302539.png,0.1465,-0.2258
1749880108.335997,1749880108.335997.png,0.1465,-0.2258
1749880108.373065,1749880108.373065.png,0.1465,-0.2258
1749880108.403445,1749880108.403445.png,0.1465,-0.2330
1749880108.435950,1749880108.435950.png,0.1465,-0.2330
1749880108.469086,1749880108.469086.png,0.1465,-0.2330
1749880108.503302,1749880108.503302.png,0.1465,-0.2368
1749880108.536398,1749880108.536398.png,0.1465,-0.2368
1749880108.570025,1749880108.570025.png,0.1465,-0.2368
1749880108.607205,1749880108.607205.png,0.1465,-0.2456
1749880108.636441,1749880108.636441.png,0.1465,-0.2456
1749880108.672192,1749880108.672192.png,0.1465,-0.2456
1749880108.702833,1749880108.702833.png,0.1465,-0.2492
1749880108.738796,1749880108.738796.png,0.1465,-0.2492
1749880108.769134,1749880108.769134.png,0.1465,-0.2492
