timestamp,image_file,linear_x,angular_z
1749280113.050931,1749280113.050931.png,0.2769,0.3405
1749280113.153254,1749280113.153254.png,0.2769,0.3405
1749280113.251413,1749280113.251413.png,0.2769,0.3405
1749280113.351598,1749280113.351598.png,0.2769,0.3405
1749280113.456679,1749280113.456679.png,0.2769,0.3405
1749280113.551398,1749280113.551398.png,0.2769,0.3405
1749280113.652890,1749280113.652890.png,0.2769,0.3405
1749280113.751547,1749280113.751547.png,0.2769,0.3405
1749280113.851485,1749280113.851485.png,0.2769,0.3405
1749280113.953449,1749280113.953449.png,0.2769,0.3405
1749280114.051356,1749280114.051356.png,0.2769,0.3405
1749280114.151143,1749280114.151143.png,0.2769,0.3405
1749280114.250983,1749280114.250983.png,0.2769,0.3405
1749280114.351896,1749280114.351896.png,0.2769,0.3405
1749280114.451211,1749280114.451211.png,0.2769,0.3405
1749280114.551322,1749280114.551322.png,0.2769,0.3405
1749280114.651233,1749280114.651233.png,0.2769,0.3405
1749280114.751459,1749280114.751459.png,0.2769,0.3405
1749280114.851358,1749280114.851358.png,0.2769,0.3405
1749280114.952231,1749280114.952231.png,0.2769,0.3405
1749280115.052689,1749280115.052689.png,0.2769,0.3405
1749280115.151000,1749280115.151000.png,0.2769,0.3405
1749280115.250846,1749280115.250846.png,0.2769,0.3405
1749280115.351047,1749280115.351047.png,0.2769,0.3405
1749280115.457429,1749280115.457429.png,0.2769,0.3405
1749280115.550840,1749280115.550840.png,0.2769,0.3405
1749280115.653069,1749280115.653069.png,0.2769,0.2617
1749280115.750902,1749280115.750902.png,0.2769,-0.1809
1749280115.851166,1749280115.851166.png,0.2769,-0.3405
1749280115.951321,1749280115.951321.png,0.2769,-0.3405
1749280116.053704,1749280116.053704.png,0.2769,-0.3405
1749280116.154962,1749280116.154962.png,0.2769,-0.3405
1749280116.254070,1749280116.254070.png,0.2769,-0.3405
1749280116.352070,1749280116.352070.png,0.2769,-0.3405
1749280116.450716,1749280116.450716.png,0.2769,-0.3405
1749280116.553046,1749280116.553046.png,0.2769,-0.3405
1749280116.652278,1749280116.652278.png,0.2769,-0.3405
1749280116.751215,1749280116.751215.png,0.2769,-0.3405
1749280116.853215,1749280116.853215.png,0.2769,-0.3405
1749280116.951101,1749280116.951101.png,0.2769,-0.3405
1749280117.051035,1749280117.051035.png,0.2769,-0.3405
1749280117.153999,1749280117.153999.png,0.2769,-0.3405
1749280117.251270,1749280117.251270.png,0.2769,-0.3405
1749280117.352623,1749280117.352623.png,0.2769,-0.3405
1749280117.450870,1749280117.450870.png,0.2769,-0.3405
1749280117.551184,1749280117.551184.png,0.2769,-0.3405
1749280117.654050,1749280117.654050.png,0.2769,-0.3405
